benchmark,attack,f,baseline,target,target_acc,baseline_acc,delta,ci_low,ci_high,p,n_tasks,p_holm,verdict
boolq,llm:rushing,0.3,aip_gated,race,0.544047619047619,0.6892857142857144,-0.14523809523809528,-0.24642857142857144,-0.035714285714285726,0.0056700336499424095,48,0.49896296119493205,tie
boolq,llm:rushing,0.3,ds_onecoin,race,0.544047619047619,0.6708333333333334,-0.12678571428571428,-0.18214285714285716,-0.06904761904761907,1.2739045152514658e-05,48,0.0014012949667766123,loss
boolq,llm:rushing,0.5,self,race,0.5191666666666667,0.6008333333333333,-0.08166666666666667,-0.1425,-0.023333333333333327,0.02379479859289974,48,1.0,tie
boolq,llm:rushing,0.5,majority,race,0.5191666666666667,0.6708333333333334,-0.15166666666666667,-0.26833333333333337,-0.020812500000000112,0.05357139505952201,48,1.0,tie
boolq,llm:rushing,0.5,aip_gated,race,0.5191666666666667,0.6158333333333333,-0.09666666666666668,-0.25666666666666665,0.07416666666666664,0.9710352510282336,48,1.0,tie
boolq,llm:rushing,0.5,ds_onecoin,race,0.5191666666666667,0.5541666666666667,-0.03499999999999998,-0.21420833333333336,0.15252083333333322,0.26486602269359905,48,1.0,tie
boolq,llm:rushing,0.7,self,race,0.5388888888888889,0.6194444444444444,-0.08055555555555555,-0.14722222222222223,-0.011111111111111112,0.03644093778771493,48,1.0,tie
boolq,llm:rushing,0.7,majority,race,0.5388888888888889,0.6,-0.061111111111111144,-0.19166666666666668,0.0708333333333333,0.9876184897899971,48,1.0,tie
boolq,llm:rushing,0.7,aip_gated,race,0.5388888888888889,0.5638888888888889,-0.025000000000000033,-0.16111111111111112,0.1208333333333333,0.33844444403583385,48,1.0,tie
boolq,llm:rushing,0.7,ds_onecoin,race,0.5388888888888889,0.5708333333333333,-0.03194444444444447,-0.17781250000000004,0.11527777777777774,0.48151072619385993,48,1.0,tie
boolq,llm:solo,0.1,self,race,0.7032407407407407,0.6175925925925926,0.08564814814814818,0.016203703703703737,0.15464120370370368,0.01256678541307058,48,0.9425089059802935,tie
boolq,llm:solo,0.1,majority,race,0.7032407407407407,0.6791666666666667,0.024074074074074078,-0.049999999999999996,0.10740740740740744,0.8976331892306071,48,1.0,tie
boolq,llm:solo,0.1,aip_gated,race,0.7032407407407407,0.687962962962963,0.015277777777777786,-0.03335648148148147,0.06991898148148143,0.8998242545525089,48,1.0,tie
boolq,llm:solo,0.1,ds_onecoin,race,0.7032407407407407,0.7583333333333333,-0.05509259259259259,-0.10601851851851851,-0.010162037037037162,0.030900138549377135,48,1.0,tie
boolq,llm:solo,0.3,self,race,0.6077380952380952,0.6202380952380953,-0.012499999999999989,-0.0732142857142857,0.04880952380952382,0.6761558728391315,48,1.0,tie
boolq,llm:solo,0.3,majority,race,0.6077380952380952,0.7041666666666667,-0.09642857142857142,-0.17501488095238096,-0.009508928571428635,0.03877011085433427,48,1.0,tie
boolq,llm:solo,0.3,aip_gated,race,0.6077380952380952,0.7244047619047619,-0.11666666666666665,-0.20178571428571426,-0.029136904761904905,0.013305226332383721,48,0.9845867485963954,tie
boolq,llm:solo,0.3,ds_onecoin,race,0.6077380952380952,0.6875,-0.07976190476190474,-0.12084821428571425,-0.0380952380952381,0.0004216701893996667,48,0.042588689129366336,loss
