benchmark,attack,f,baseline,target,target_acc,baseline_acc,delta,ci_low,ci_high,p,n_tasks,p_holm,verdict
boolq,llm:solo,0.3,race_onecoin,race,0.8303571428571428,0.6955357142857144,0.13482142857142856,0.06962053571428571,0.19642857142857142,0.00019001022600898006,32,0.024511319155158428,win
boolq,llm:solo,0.5,self,race,0.82625,0.73375,0.09250000000000001,0.012468749999999985,0.17125,0.025415058284549392,32,1.0,tie
boolq,llm:solo,0.5,majority,race,0.82625,0.8687499999999999,-0.04249999999999999,-0.14624999999999996,0.05,0.14144873654780055,32,1.0,tie
boolq,llm:solo,0.5,aip_gated,race,0.82625,0.8300000000000001,-0.003749999999999986,-0.13249999999999998,0.125,0.7539297075685356,32,1.0,tie
boolq,llm:solo,0.5,ds_onecoin,race,0.82625,0.7625,0.06375000000000001,0.012500000000000011,0.11250000000000002,0.015211718914201375,32,1.0,tie
boolq,llm:solo,0.5,race_onecoin,race,0.82625,0.58125,0.24499999999999997,0.15249999999999997,0.3387812499999998,1.8434107269641595e-05,32,0.0025623409104801815,win
boolq,llm:solo,0.7,self,race,0.7708333333333333,0.7333333333333333,0.037500000000000026,-0.022968749999999993,0.09583333333333335,0.19393414404299947,32,1.0,tie
boolq,llm:solo,0.7,majority,race,0.7708333333333333,0.6875,0.08333333333333333,-0.08125,0.25,0.8286914286447343,32,1.0,tie
boolq,llm:solo,0.7,aip_gated,race,0.7708333333333333,0.6666666666666667,0.10416666666666666,-0.07708333333333336,0.3,0.9550373662602544,32,1.0,tie
boolq,llm:solo,0.7,ds_onecoin,race,0.7708333333333333,0.5375,0.2333333333333333,0.002083333333333326,0.4521354166666664,0.09798930270791739,32,1.0,tie
boolq,llm:solo,0.7,race_onecoin,race,0.7708333333333333,0.5416666666666666,0.22916666666666669,0.14791666666666667,0.30833333333333335,4.3769492198390376e-05,32,0.00586511195458431,win
