benchmark,f,baseline,target,target_acc,baseline_acc,delta,ci_low,ci_high,p,n_tasks,p_holm,verdict,study,attack,param
gsm8k,0.9,aip_soft,race,0.9560000000000001,0.0,0.9560000000000001,0.9329999999999999,0.9760000000000001,3.199472552990951e-41,200,9.310465129203667e-39,win,main,,
math500,0.0,self,race,0.925,0.7147499999999999,0.21025,0.15374374999999998,0.26875,2.8022526770795216e-10,80,5.632527880929838e-08,win,main,,
math500,0.0,majority,race,0.925,0.885,0.04,0.005,0.07749999999999999,0.03351909444294685,80,1.0,tie,main,,
math500,0.0,ds_onecoin,race,0.925,0.9175000000000001,0.007499999999999998,-0.012500000000000002,0.032499999999999994,0.9796757846874236,80,1.0,tie,main,,
math500,0.0,aip_gated,race,0.925,0.8755,0.0495,0.017499999999999998,0.08499999999999999,0.006821673602204706,80,0.8936392418888165,tie,main,,
math500,0.0,aip_soft,race,0.925,0.8755,0.0495,0.017,0.08401249999999993,0.006821673602204706,80,0.8936392418888165,tie,main,,
math500,0.1,self,race,0.7613888888888888,0.7008333333333333,0.06055555555555554,0.010277777777777755,0.11445138888888884,0.36855007576597665,80,1.0,tie,main,,
math500,0.1,majority,race,0.7613888888888888,0.8550000000000001,-0.09361111111111114,-0.12694444444444447,-0.05415277777777788,0.00032162939870983493,80,0.0479227804077654,loss,main,,
math500,0.1,ds_onecoin,race,0.7613888888888888,0.86,-0.09861111111111115,-0.13028472222222223,-0.06638888888888891,0.0001159038624155266,80,0.0183128102616532,loss,main,,
math500,0.1,aip_gated,race,0.7613888888888888,0.8655555555555555,-0.1041666666666667,-0.1341666666666667,-0.07332638888888895,1.4426551092868959e-06,80,0.00026400588499950195,loss,main,,
math500,0.1,aip_soft,race,0.7613888888888888,0.8655555555555555,-0.1041666666666667,-0.13361111111111112,-0.07221527777777785,1.4426551092868959e-06,80,0.00026400588499950195,loss,main,,
math500,0.2,self,race,0.7837499999999998,0.7150000000000001,0.06875,0.018429687499999983,0.1184375,0.18142049135492855,80,1.0,tie,main,,
math500,0.2,majority,race,0.7837499999999998,0.7949999999999999,-0.011250000000000022,-0.06375000000000001,0.043749999999999976,0.04700161331350684,80,1.0,tie,main,,
math500,0.2,ds_onecoin,race,0.7837499999999998,0.8549999999999999,-0.07125000000000001,-0.10187500000000002,-0.03875000000000002,4.790588476654533e-05,80,0.00809609452554616,loss,main,,
math500,0.2,aip_gated,race,0.7837499999999998,0.8484375,-0.06468750000000001,-0.09500000000000001,-0.03125000000000002,7.846989760184222e-05,80,0.012869063206702124,loss,main,,
math500,0.2,aip_soft,race,0.7837499999999998,0.8484375,-0.06468750000000001,-0.09500781250000002,-0.03156250000000002,7.846989760184222e-05,80,0.012869063206702124,loss,main,,
math500,0.3,self,race,0.7928571428571427,0.7246428571428571,0.0682142857142857,0.023571428571428552,0.12035714285714283,0.1650913605424359,80,1.0,tie,main,,
math500,0.3,majority,race,0.7928571428571427,0.6625,0.13035714285714284,0.059276785714285685,0.20215178571428566,0.0037021820927593085,80,0.5034967646152659,tie,main,,
