benchmark,f,attack,param,baseline,target,target_acc,baseline_acc,delta,ci_low,ci_high,p,n_tasks,p_holm,verdict
gsm8k,0.5,gate_aware,0.5,race,race_d,0.9733333333333334,0.9733333333333334,0.0,0.0,0.0,1.0,200,1.0,tie
gsm8k,0.5,gate_aware,0.75,race,race_d,0.9733333333333334,0.9733333333333334,0.0,0.0,0.0,1.0,200,1.0,tie
gsm8k,0.5,gate_aware,1.0,race,race_d,0.9733333333333334,0.9733333333333334,0.0,0.0,0.0,1.0,200,1.0,tie
gsm8k,0.5,independent,1.0,race,race_d,0.975,0.9733333333333334,0.0016666666666666668,0.0,0.005,0.31731050786291415,200,1.0,tie
gsm8k,0.5,llm:always_wrong,1.0,race,race_d,0.9723333333333335,0.9726666666666668,-0.00033333333333333327,-0.0009999999999999998,0.0,0.31731050786291415,200,1.0,tie
gsm8k,0.5,llm:rushing,1.0,race,race_d,0.9746666666666667,0.9719999999999999,0.002666666666666666,0.0,0.006666666666666665,0.15729920705028516,200,1.0,tie
gsm8k,0.5,llm:semantic_hallucination,1.0,race,race_d,0.9713333333333333,0.9713333333333333,0.0,0.0,0.0,1.0,200,1.0,tie
gsm8k,0.5,llm:semantic_negation,1.0,race,race_d,0.972,0.972,0.0,0.0,0.0,1.0,200,1.0,tie
gsm8k,0.5,partial,0.5,race,race_d,0.971,0.9703333333333333,0.0006666666666666668,0.0,0.0020000000000000005,0.31731050786291415,200,1.0,tie
gsm8k,0.5,partial,0.8,race,race_d,0.9733333333333334,0.9733333333333334,0.0,0.0,0.0,1.0,200,1.0,tie
gsm8k,0.5,sleeper,1.0,race,race_d,0.8833333333333334,0.6893333333333334,0.19399999999999998,0.17765833333333328,0.21166666666666664,1.6208437318881983e-37,200,5.251533691317763e-35,win
gsm8k,0.5,uninformative,1.0,race,race_d,0.9716666666666667,0.9716666666666667,0.0,0.0,0.0,1.0,200,1.0,tie
gsm8k,0.7,attractor,1.0,race,race_d,0.9727777777777777,0.9727777777777777,0.0,0.0,0.0,1.0,200,1.0,tie
gsm8k,0.7,camouflage,0.7,race,race_d,0.95,0.9366666666666665,0.013333333333333332,0.006666666666666666,0.02111111111111111,0.0005322545618859748,200,0.147966768204301,tie
gsm8k,0.7,camouflage,0.9,race,race_d,0.95,0.9366666666666665,0.013333333333333332,0.006666666666666665,0.02111111111111111,0.0005322545618859748,200,0.147966768204301,tie
gsm8k,0.7,echo,1.0,race,race_d,0.9505555555555556,0.9561111111111111,-0.00555555555555556,-0.01333333333333334,0.0027777777777777744,0.3336540488039481,200,1.0,tie
gsm8k,0.7,gate_aware,0.0,race,race_d,0.9733333333333334,0.9733333333333334,0.0,0.0,0.0,1.0,200,1.0,tie
gsm8k,0.7,gate_aware,0.25,race,race_d,0.9733333333333334,0.9733333333333334,0.0,0.0,0.0,1.0,200,1.0,tie
gsm8k,0.7,gate_aware,0.5,race,race_d,0.9733333333333334,0.9733333333333334,0.0,0.0,0.0,1.0,200,1.0,tie
gsm8k,0.7,gate_aware,0.75,race,race_d,0.9733333333333334,0.9733333333333334,0.0,0.0,0.0,1.0,200,1.0,tie
gsm8k,0.7,gate_aware,1.0,race,race_d,0.9733333333333334,0.9733333333333334,0.0,0.0,0.0,1.0,200,1.0,tie
gsm8k,0.7,independent,1.0,race,race_d,0.9733333333333334,0.9733333333333334,0.0,0.0,0.0,1.0,200,1.0,tie
gsm8k,0.7,llm:always_wrong,1.0,race,race_d,0.9661111111111111,0.9661111111111111,0.0,0.0,0.0,1.0,200,1.0,tie
gsm8k,0.7,llm:rushing,1.0,race,race_d,0.9666666666666666,0.9683333333333334,-0.0016666666666666668,-0.005,0.0,0.31731050786291415,200,1.0,tie
gsm8k,0.7,llm:semantic_hallucination,1.0,race,race_d,0.9666666666666667,0.9666666666666667,0.0,0.0,0.0,1.0,200,1.0,tie
gsm8k,0.7,llm:semantic_negation,1.0,race,race_d,0.97,0.97,0.0,0.0,0.0,1.0,200,1.0,tie
gsm8k,0.7,partial,0.5,race,race_d,0.9716666666666667,0.9716666666666667,0.0,0.0,0.0,1.0,200,1.0,tie
gsm8k,0.7,partial,0.8,race,race_d,0.9672222222222223,0.9672222222222223,0.0,0.0,0.0,1.0,200,1.0,tie
gsm8k,0.7,sleeper,1.0,race,race_d,0.0005555555555555556,0.0,0.0005555555555555556,0.0,0.0016666666666666666,0.31731050786291415,200,1.0,tie
gsm8k,0.7,uninformative,1.0,race,race_d,0.9633333333333334,0.9633333333333334,0.0,0.0,0.0,1.0,200,1.0,tie
math500,0.3,attractor,1.0,race,race_d,0.849404761904762,0.849404761904762,0.0,0.0,0.0,1.0,80,1.0,tie
math500,0.3,camouflage,0.7,race,race_d,0.7208333333333334,0.8416666666666666,-0.12083333333333335,-0.16428571428571428,-0.0773809523809524,1.7178767440902698e-08,80,4.981842557861783e-06,loss
math500,0.3,camouflage,0.9,race,race_d,0.7720238095238094,0.8386904761904763,-0.06666666666666667,-0.10595238095238094,-0.030357142857142853,9.314135656066714e-05,80,0.02598643848042613,loss
math500,0.3,echo,1.0,race,race_d,0.7351190476190477,0.850595238095238,-0.11547619047619047,-0.1494047619047619,-0.08452380952380953,3.5919161881706354e-09,80,1.0596152755103374e-06,loss
math500,0.3,gate_aware,0.0,race,race_d,0.9416666666666668,0.9416666666666668,0.0,0.0,0.0,1.0,80,1.0,tie
math500,0.3,gate_aware,0.25,race,race_d,0.9416666666666667,0.9416666666666667,0.0,0.0,0.0,1.0,80,1.0,tie
math500,0.3,gate_aware,0.5,race,race_d,0.9375,0.9375,0.0,0.0,0.0,1.0,80,1.0,tie
math500,0.3,gate_aware,0.75,race,race_d,0.9375,0.9375,0.0,0.0,0.0,1.0,80,1.0,tie
math500,0.3,gate_aware,1.0,race,race_d,0.8422619047619048,0.8422619047619048,0.0,0.0,0.0,1.0,80,1.0,tie
math500,0.3,independent,1.0,race,race_d,0.9333333333333332,0.9333333333333332,0.0,0.0,0.0,1.0,80,1.0,tie
math500,0.3,llm:always_wrong,1.0,race,race_d,0.9166666666666667,0.9166666666666667,0.0,0.0,0.0,1.0,80,1.0,tie
math500,0.3,llm:rushing,1.0,race,race_d,0.9125,0.9125,0.0,0.0,0.0,1.0,80,1.0,tie
math500,0.3,llm:semantic_hallucination,1.0,race,race_d,0.9291666666666666,0.9291666666666666,0.0,0.0,0.0,1.0,80,1.0,tie
math500,0.3,llm:semantic_negation,1.0,race,race_d,0.9291666666666666,0.9291666666666666,0.0,0.0,0.0,1.0,80,1.0,tie
math500,0.3,partial,0.5,race,race_d,0.855952380952381,0.855952380952381,0.0,0.0,0.0,1.0,80,1.0,tie
math500,0.3,partial,0.8,race,race_d,0.8380952380952383,0.8380952380952383,0.0,0.0,0.0,1.0,80,1.0,tie
math500,0.3,sleeper,1.0,race,race_d,0.4428571428571429,0.8083333333333332,-0.3654761904761905,-0.41785714285714287,-0.30892857142857144,1.751597314497317e-13,80,5.4474676480866565e-11,loss
math500,0.3,uninformative,1.0,race,race_d,0.8101190476190478,0.8113095238095239,-0.0011904761904761904,-0.0035714285714285713,0.0,0.31731050786291415,80,1.0,tie
math500,0.5,attractor,1.0,race,race_d,0.8591666666666666,0.8591666666666666,0.0,0.0,0.0,1.0,80,1.0,tie
math500,0.5,camouflage,0.7,race,race_d,0.7041666666666667,0.7,0.004166666666666666,-0.025833333333333337,0.035833333333333335,0.740028730148788,80,1.0,tie
