benchmark,f,attack,param,baseline,target,target_acc,baseline_acc,delta,ci_low,ci_high,p,n_tasks,p_holm,verdict
boolq,0.7,independent,1.0,oracle_channel_honest,race,0.9375,0.9041666666666666,0.03333333333333334,0.008333333333333335,0.06666666666666668,0.025366578253857998,80,1.0,tie
boolq,0.7,llm:always_wrong,1.0,oracle_channel_honest,race,0.9041666666666666,0.9041666666666666,0.0,0.0,0.0,1.0,80,1.0,tie
boolq,0.7,llm:rushing,1.0,oracle_channel_honest,race,0.9180555555555555,0.9041666666666666,0.01388888888888889,-0.015277777777777776,0.04583333333333334,0.40535052685869155,80,1.0,tie
boolq,0.7,llm:semantic_hallucination,1.0,oracle_channel_honest,race,0.9041666666666666,0.9041666666666666,0.0,0.0,0.0,1.0,80,1.0,tie
boolq,0.7,llm:semantic_negation,1.0,oracle_channel_honest,race,0.9027777777777777,0.9041666666666666,-0.0013888888888888896,-0.004166666666666668,0.0,0.31731050786291415,80,1.0,tie
boolq,0.7,partial,0.5,oracle_channel_honest,race,0.9041666666666666,0.9041666666666666,0.0,0.0,0.0,1.0,80,1.0,tie
boolq,0.7,partial,0.8,oracle_channel_honest,race,0.961111111111111,0.9041666666666666,0.05694444444444444,0.02222222222222222,0.1,0.0027145267978156955,80,0.6977357611955928,tie
boolq,0.7,sleeper,1.0,oracle_channel_honest,race,0.0,0.9041666666666666,-0.9041666666666666,-0.9583333333333333,-0.8416666666666668,2.6256260445600204e-17,80,8.375747082146465e-15,loss
boolq,0.7,uninformative,1.0,oracle_channel_honest,race,0.9041666666666666,0.9041666666666666,0.0,0.0,0.0,1.0,80,1.0,tie
gsm8k,0.3,attractor,1.0,oracle_channel_honest,race,0.98,0.975,0.005,0.0,0.013333333333333334,0.1573005107696258,200,1.0,tie
gsm8k,0.3,camouflage,0.7,oracle_channel_honest,race,0.9707142857142859,0.975,-0.004285714285714286,-0.012380952380952381,0.0009523809523809524,0.55979375671854,200,1.0,tie
gsm8k,0.3,camouflage,0.9,oracle_channel_honest,race,0.9697619047619048,0.975,-0.005238095238095237,-0.013101190476190476,0.0,0.08326711222645355,200,1.0,tie
gsm8k,0.3,echo,1.0,oracle_channel_honest,race,0.9742857142857143,0.975,-0.0007142857142857145,-0.0021428571428571434,0.0,0.31731050786291415,200,1.0,tie
gsm8k,0.3,gate_aware,0.0,oracle_channel_honest,race,0.98,0.975,0.005,0.0,0.013333333333333334,0.1573005107696258,200,1.0,tie
gsm8k,0.3,gate_aware,0.25,oracle_channel_honest,race,0.98,0.975,0.005,0.0,0.013333333333333334,0.1573005107696258,200,1.0,tie
gsm8k,0.3,gate_aware,0.5,oracle_channel_honest,race,0.98,0.975,0.005,0.0,0.013333333333333334,0.1573005107696258,200,1.0,tie
gsm8k,0.3,gate_aware,0.75,oracle_channel_honest,race,0.98,0.975,0.005,0.0,0.013333333333333334,0.1573005107696258,200,1.0,tie
gsm8k,0.3,gate_aware,1.0,oracle_channel_honest,race,0.98,0.975,0.005,0.0,0.013333333333333334,0.1573005107696258,200,1.0,tie
gsm8k,0.3,independent,1.0,oracle_channel_honest,race,0.98,0.975,0.005,0.0,0.013333333333333334,0.1573005107696258,200,1.0,tie
gsm8k,0.3,llm:always_wrong,1.0,oracle_channel_honest,race,0.975,0.975,0.0,0.0,0.0,1.0,200,1.0,tie
gsm8k,0.3,llm:rushing,1.0,oracle_channel_honest,race,0.9783333333333334,0.975,0.003333333333333333,-0.0033333333333333335,0.011666666666666667,0.5617474804445645,200,1.0,tie
gsm8k,0.3,llm:semantic_hallucination,1.0,oracle_channel_honest,race,0.975,0.975,0.0,0.0,0.0,1.0,200,1.0,tie
gsm8k,0.3,llm:semantic_negation,1.0,oracle_channel_honest,race,0.975,0.975,0.0,0.0,0.0,1.0,200,1.0,tie
gsm8k,0.3,partial,0.5,oracle_channel_honest,race,0.975,0.975,0.0,0.0,0.0,1.0,200,1.0,tie
gsm8k,0.3,partial,0.8,oracle_channel_honest,race,0.9766666666666667,0.975,0.0016666666666666668,0.0,0.005,0.31731050786291415,200,1.0,tie
gsm8k,0.3,sleeper,1.0,oracle_channel_honest,race,0.9621428571428572,0.975,-0.012857142857142853,-0.02476785714285714,-0.003809523809523807,0.0003120305511656429,200,0.08456027936588922,tie
gsm8k,0.3,uninformative,1.0,oracle_channel_honest,race,0.9723809523809525,0.975,-0.0026190476190476185,-0.007857142857142856,0.0,0.31731050786291415,200,1.0,tie
gsm8k,0.5,attractor,1.0,oracle_channel_honest,race,0.975,0.9733333333333334,0.0016666666666666668,0.0,0.005,0.31731050786291415,200,1.0,tie
gsm8k,0.5,camouflage,0.7,oracle_channel_honest,race,0.9680000000000001,0.9733333333333334,-0.005333333333333333,-0.012666666666666666,-0.0006666666666666665,0.045503346982774265,200,1.0,tie
gsm8k,0.5,camouflage,0.9,oracle_channel_honest,race,0.9666666666666666,0.9733333333333334,-0.0066666666666666706,-0.010666666666666675,-0.003000000000000004,0.00018324336226845908,200,0.050391924623826245,tie
gsm8k,0.5,echo,1.0,oracle_channel_honest,race,0.9693333333333334,0.9733333333333334,-0.004000000000000001,-0.010666666666666668,0.0023333333333333322,0.10379237367742315,200,1.0,tie
gsm8k,0.5,gate_aware,0.0,oracle_channel_honest,race,0.9733333333333334,0.9733333333333334,0.0,0.0,0.0,1.0,200,1.0,tie
gsm8k,0.5,gate_aware,0.25,oracle_channel_honest,race,0.9733333333333334,0.9733333333333334,0.0,0.0,0.0,1.0,200,1.0,tie
